i,n,m,k,num_threads,multiplier,iterations,time_us,stddev_us
178,100,100,10,16,DefaultMultiplierJIK,4,183.750000,10.353140
179,100,100,10,16,Collapse2Multiplier,4,132.500000,2.291288
180,100,100,10,16,Collapse3Multiplier,4,218.500000,68.148735
181,100,100,10,16,DefaultMultiplierIJKTranspose,4,182.500000,20.946360
182,100,100,10,16,DefaultMultiplierIJKTransposeCached,4,143.500000,5.590170
183,100,100,100,4,DefaultMultiplierIJK,4,1597.750000,75.787529
184,100,100,100,4,DefaultMultiplierIJKCached,4,1075.750000,13.555442
185,100,100,100,4,DefaultMultiplierJIK,4,1555.750000,15.223337
186,100,100,100,4,Collapse2Multiplier,4,1067.000000,1.224745
187,100,100,100,4,Collapse3Multiplier,4,1506.250000,3.354102
188,100,100,100,4,DefaultMultiplierIJKTranspose,4,1629.250000,51.601841
189,100,100,100,4,DefaultMultiplierIJKTransposeCached,4,1137.250000,10.283482
190,100,100,100,16,DefaultMultiplierIJK,4,4586.750000,5294.832031
191,100,100,100,16,DefaultMultiplierIJKCached,4,1165.750000,86.958321
192,100,100,100,16,DefaultMultiplierJIK,4,1811.750000,207.656570
193,100,100,100,16,Collapse2Multiplier,4,1447.500000,348.907928
194,100,100,100,16,Collapse3Multiplier,4,1372.000000,84.604965
195,100,100,100,16,DefaultMultiplierIJKTranspose,4,1349.250000,116.171211
196,100,100,100,16,DefaultMultiplierIJKTransposeCached,4,897.250000,29.852764
197,100,100,1000,4,DefaultMultiplierIJK,4,12838.500000,336.927277
198,100,100,1000,4,DefaultMultiplierIJKCached,4,8818.250000,22.803509
199,100,100,1000,4,DefaultMultiplierJIK,4,13064.250000,65.969688
200,100,100,1000,4,Collapse2Multiplier,4,8903.500000,102.176315
201,100,100,1000,4,Collapse3Multiplier,4,12785.500000,48.662102
202,100,100,1000,4,DefaultMultiplierIJKTranspose,4,12758.750000,112.214081
203,100,100,1000,4,DefaultMultiplierIJKTransposeCached,4,8403.500000,39.899876
204,100,100,1000,16,DefaultMultiplierIJK,4,11614.500000,993.072021
205,100,100,1000,16,DefaultMultiplierIJKCached,4,9244.500000,1056.541504
206,100,100,1000,16,DefaultMultiplierJIK,4,13542.000000,1376.988037
207,100,100,1000,16,Collapse2Multiplier,4,9006.500000,949.698914
208,100,100,1000,16,Collapse3Multiplier,4,11561.500000,493.445038
209,100,100,1000,16,DefaultMultiplierIJKTranspose,4,11484.500000,501.517700
210,100,100,1000,16,DefaultMultiplierIJKTransposeCached,4,8119.250000,510.666229
211,100,1000,10,4,DefaultMultiplierIJK,4,2055.750000,63.553127
212,100,1000,10,4,DefaultMultiplierIJKCached,4,1626.000000,62.904690
213,100,1000,10,4,DefaultMultiplierJIK,4,2020.000000,29.622627
